"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
91000,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Xalapa Enríquez Centro,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,21 de Marzo,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Del Periodista,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Arroyo Zarco,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,18 de Marzo,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Brisas del Río Sedeño,91002
91010,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Mesa de Guayabo,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Nahuiollin,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Porvenir I,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Porvenir II,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Solidaridad,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Insurgentes,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación Manantiales,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación Renacimiento,91002
91013,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Victimas del 6 de Septiembre,91002
91014,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Loma Bonita,91002
91014,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Guadalupe Victoria,91002
91014,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Luz del Barrio,91002
91014,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas de Chapultepec,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Pocito,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas de San Roque,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,10 de Abril,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Niños Héroes,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Framboyanes,91002
91015,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Isauro Acosta,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ruben R Jaramillo,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,9 de Abril,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Independencia,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Altamira,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Comercio,91002
91016,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Luis Donaldo Colosio,91002
91017,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rafael Murillo Vidal,91002
